flavor,molecule,smiles,category
coconut,gamma-nonalactone,CCCCCC1CCC(=O)O1,aroma-supplement
coconut,gamma-octalactone,CCCCC1CCC(=O)O1,aroma-supplement
coconut,delta-decalactone,CCCCCC1CCCC(=O)O1,aroma-supplement
coconut,gamma-decalactone,CCCCCCC1CCC(=O)O1,aroma-supplement
coconut,delta-octalactone,CCCC1CCCC(=O)O1,aroma-supplement
coconut,massoia lactone,CCCCCC1CC=CC(=O)O1,aroma-supplement
caramel,maltol,Cc1occc(=O)c1O,aroma-supplement
caramel,ethyl maltol,CCc1occc(=O)c1O,aroma-supplement
caramel,cyclotene,CC1=C(O)C(=O)CC1,aroma-supplement
caramel,"4-hydroxy-2,5-dimethyl-3(2H)-furanone",CC1=C(O)C(=O)C(C)O1,aroma-supplement
caramel,homofuraneol,CCC1OC(C)=C(O)C1=O,aroma-supplement
caramel,5-methylfurfural,Cc1ccc(C=O)o1,aroma-supplement
honey,phenylacetic acid,O=C(O)Cc1ccccc1,aroma-supplement
honey,methyl phenylacetate,COC(=O)Cc1ccccc1,aroma-supplement
honey,ethyl phenylacetate,CCOC(=O)Cc1ccccc1,aroma-supplement
honey,2-phenylethanol,OCCc1ccccc1,aroma-supplement
honey,phenylacetaldehyde,O=CCc1ccccc1,aroma-supplement
honey,2-phenylethyl acetate,CC(=O)OCCc1ccccc1,aroma-supplement
honey,methyl anthranilate,COC(=O)c1ccccc1N,aroma-supplement
buttery,"2,3-butanedione",CC(=O)C(C)=O,aroma-supplement
buttery,acetoin,CC(=O)C(C)O,aroma-supplement
buttery,"2,3-pentanedione",CCC(=O)C(C)=O,aroma-supplement
buttery,"2,3-hexanedione",CCCC(=O)C(C)=O,aroma-supplement
buttery,"2,3-heptanedione",CCCCC(=O)C(C)=O,aroma-supplement
vanilla,vanillin,COc1cc(C=O)ccc1O,aroma-supplement
vanilla,ethylvanillin,CCOc1cc(C=O)ccc1O,aroma-supplement
vanilla,vanillyl alcohol,COc1cc(CO)ccc1O,aroma-supplement
